ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,incognito_mode
2024-01-13T08:56:22Z,android,124281,worst behavior,Ariana Grande,Positions,spotify:track:6KIKaWKE9wV6mLjho3w61y,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-13T08:59:17Z,android,173386,I Think He Knows,Taylor Swift,Lover,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-01-13T13:27:34Z,android,214320,King Of My Heart,Taylor Swift,reputation,spotify:track:7HuBDWi18s4aJM8UFnNheH,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-13T13:29:38Z,android,124281,worst behavior,Ariana Grande,Positions,spotify:track:6KIKaWKE9wV6mLjho3w61y,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-13T13:32:33Z,android,173386,I Think He Knows,Taylor Swift,Lover,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-13T13:36:01Z,android,208186,...Ready For It?,Taylor Swift,reputation,spotify:track:2yLa0QULdQr0qAIvVwN6B5,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-01-13T13:38:50Z,android,168880,Wish You Were Sober,Conan Gray,Kid Krow,spotify:track:0kn2gu8Pd03DiYHzRvX2Xk,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-13T13:39:10Z,android,18398,mirrorball,Taylor Swift,folklore,spotify:track:0ZNU020wNYvgW84iljPkPP,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-01-13T13:39:12Z,android,1001,Gorgeous,Taylor Swift,reputation,spotify:track:1ZY1PqizIl78geGM4xWlEA,,,,clickrow,unexpected-exit,FALSE,FALSE,FALSE,FALSE
2024-01-13T19:18:05Z,android,381848,Humsafar,QB,Humsafar (2011),spotify:track:3gBwuyMuSVK9ubjEhoNooA,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-13T19:22:40Z,android,275040,cowboy like me,Taylor Swift,evermore,spotify:track:52OkpDsU6MmPx1AwGOb6Ap,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-13T19:25:46Z,android,185320,gold rush,Taylor Swift,evermore,spotify:track:3Dby3p1m6IOZn2gIIqECgK,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-13T19:30:07Z,android,260361,"Would've, Could've, Should've",Taylor Swift,Midnights,spotify:track:4txojlesMFQZGWxwz2EeqB,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-13T19:32:46Z,android,158447,Alfaazo,Mitraz,Alfaazo,spotify:track:6KvXpACADAz73IPrCgXobL,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-13T19:36:15Z,android,208977,mirrorball,Taylor Swift,folklore,spotify:track:0ZNU020wNYvgW84iljPkPP,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-13T19:36:18Z,android,1001,Humsafar,QB,Humsafar (2011),spotify:track:3gBwuyMuSVK9ubjEhoNooA,,,,trackdone,unexpected-exit,FALSE,FALSE,FALSE,FALSE
2024-01-14T17:50:46Z,android,185320,gold rush,Taylor Swift,evermore,spotify:track:3Dby3p1m6IOZn2gIIqECgK,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-14T17:55:21Z,android,275040,cowboy like me,Taylor Swift,evermore,spotify:track:52OkpDsU6MmPx1AwGOb6Ap,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-14T17:59:43Z,android,260440,ivy,Taylor Swift,evermore,spotify:track:43Ykum9T72UOPhBN31grpN,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-14T18:03:47Z,android,244000,champagne problems,Taylor Swift,evermore,spotify:track:1gcyHQpBQ1lfXGdhZmWrHP,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-14T18:06:52Z,android,185320,gold rush,Taylor Swift,evermore,spotify:track:3Dby3p1m6IOZn2gIIqECgK,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-01-14T18:10:46Z,android,233626,Getaway Car,Taylor Swift,reputation,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-14T18:13:04Z,android,137773,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-14T18:17:33Z,android,267773,The Alcott (feat. Taylor Swift),The National,First Two Pages of Frankenstein,spotify:track:6INztpNwOTlfSKTuPo0HOP,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-14T18:21:04Z,android,210002,Afterglow,Taylor Swift,Lover,spotify:track:1SymEzIT3H8UZfibCs3TYi,,,,trackdone,unexpected-exit,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:10:48Z,android,275040,cowboy like me,Taylor Swift,evermore,spotify:track:52OkpDsU6MmPx1AwGOb6Ap,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:14:42Z,android,233626,Getaway Car,Taylor Swift,reputation,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:17:36Z,android,173386,I Think He Knows,Taylor Swift,Lover,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:21:04Z,android,208186,...Ready For It?,Taylor Swift,reputation,spotify:track:2yLa0QULdQr0qAIvVwN6B5,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:24:05Z,android,180381,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),spotify:track:71BqAINEnezjQfxE4VuJfq,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:28:45Z,android,279833,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),spotify:track:4NioO5R9sHEZh4cGzMHyNt,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:32:42Z,android,236413,Donâ€™t Blame Me,Taylor Swift,reputation,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:36:05Z,android,202395,Lavender Haze,Taylor Swift,Midnights,spotify:track:24emu3sabKISjRkrys28jq,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:39:36Z,android,210251,the 1,Taylor Swift,folklore,spotify:track:0Jlcvv8IykzHaSmj49uNW8,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:43:11Z,android,214320,King Of My Heart,Taylor Swift,reputation,spotify:track:7HuBDWi18s4aJM8UFnNheH,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:46:17Z,android,185320,gold rush,Taylor Swift,evermore,spotify:track:3Dby3p1m6IOZn2gIIqECgK,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:46:25Z,android,7764,betty,Taylor Swift,folklore,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:50:29Z,android,244000,champagne problems,Taylor Swift,evermore,spotify:track:1gcyHQpBQ1lfXGdhZmWrHP,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-01-15T13:50:44Z,android,13744,worst behavior,Ariana Grande,Positions,spotify:track:6KIKaWKE9wV6mLjho3w61y,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:50:50Z,android,4784,mirrorball,Taylor Swift,folklore,spotify:track:0ZNU020wNYvgW84iljPkPP,,,,fwdbtn,backbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:50:52Z,android,1731,champagne problems,Taylor Swift,evermore,spotify:track:1gcyHQpBQ1lfXGdhZmWrHP,,,,backbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:50:54Z,android,1275,betty,Taylor Swift,folklore,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:50:54Z,android,924,champagne problems,Taylor Swift,evermore,spotify:track:1gcyHQpBQ1lfXGdhZmWrHP,,,,fwdbtn,endplay,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:51:20Z,android,24680,the 1,Taylor Swift,folklore,spotify:track:0Jlcvv8IykzHaSmj49uNW8,,,,fwdbtn,endplay,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:53:24Z,android,124281,worst behavior,Ariana Grande,Positions,spotify:track:6KIKaWKE9wV6mLjho3w61y,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:53:28Z,android,2892,"yes, and?",Ariana Grande,"yes, and?",spotify:track:7gaA3wERFkFkgivjwbSvkG,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:53:55Z,android,25731,False God,Taylor Swift,Lover,spotify:track:5hQSXkFgbxjZo9uCwd11so,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:53:56Z,android,950,Overdrive,Conan Gray,Overdrive,spotify:track:3QyoC6OvQUmpQwQZ18iaTs,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:53:58Z,android,1460,"jealousy, jealousy",Olivia Rodrigo,SOUR,spotify:track:0MMyJUC3WNnFS1lit5pTjk,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:53:59Z,android,223,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd,After Hours,spotify:track:1oFAF1hdPOickyHgbuRjyX,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:54:01Z,android,1400,Moonlight,Ariana Grande,Dangerous Woman,spotify:track:5A7CwBNDUhvLWuSU5oJEh3,,,,fwdbtn,backbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:54:03Z,android,1886,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd,After Hours,spotify:track:1oFAF1hdPOickyHgbuRjyX,,,,backbtn,backbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:54:16Z,android,12485,"jealousy, jealousy",Olivia Rodrigo,SOUR,spotify:track:0MMyJUC3WNnFS1lit5pTjk,,,,backbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:54:17Z,android,626,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd,After Hours,spotify:track:1oFAF1hdPOickyHgbuRjyX,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:54:18Z,android,792,Moonlight,Ariana Grande,Dangerous Woman,spotify:track:5A7CwBNDUhvLWuSU5oJEh3,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:54:20Z,android,0,Harleys In Hawaii,Katy Perry,Smile,spotify:track:3B4etxytImrRKQgV3XHjnR,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:54:22Z,android,1653,Super Bass,Nicki Minaj,Pink Friday,spotify:track:3hlksXnvbKogFdPbpO9vel,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:54:23Z,android,1154,Obsessed,Mariah Carey,Memoirs of an imperfect Angel,spotify:track:5EGPf0nqO7vEIwsOX6Er98,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:54:25Z,android,824,deja vu,Olivia Rodrigo,SOUR,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:54:54Z,android,29071,bloodline,Ariana Grande,"thank u, next",spotify:track:2hloaUoRonYssMuqLCBLTX,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:02Z,android,8176,Rude Boy,Rihanna,Rated R,spotify:track:60jzFy6Nn4M0iD1d94oteF,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:04Z,android,1500,Better Version,Sabrina Claudio,Based On A Feeling,spotify:track:3TSi3kAdU1PLg3bEQbMKes,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:06Z,android,1400,Is There Someone Else?,The Weeknd,Dawn FM,spotify:track:0mL82sxCRjrs3br407IdJh,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:08Z,android,906,Low,SZA,SOS,spotify:track:2GAhgAjOhEmItWLfgisyOn,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:10Z,android,912,positions,Ariana Grande,Positions,spotify:track:35mvY5S1H3J2QZyna3TFe0,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:11Z,android,622,I Don't Do Drugs (feat. Ariana Grande),Doja Cat,Planet Her,spotify:track:0FFsgUoFibYISzMxuGS61W,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:12Z,android,0,My Oh My (feat. DaBaby),Camila Cabello,Romance,spotify:track:3yOlyBJuViE2YSGn3nVE1K,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:14Z,android,0,Glo,drumaq,Glo,spotify:track:2vVRxNFjNtWa8vwqeCsV99,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:16Z,android,0,ESCORT,Chase Atlantic,BEAUTY IN DEATH,spotify:track:5c8xnh0mSLl7V2UDViB8Ed,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:17Z,android,2194,everytime,Ariana Grande,Sweetener,spotify:track:0WdR2AyLW1Drd3OUdwezM0,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:19Z,android,1102,Die For You,The Weeknd,Starboy,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:20Z,android,0,Who,Lauv,~how i'm feeling~,spotify:track:0pSqYDTjY1Xt86usTQslAx,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:22Z,android,151,Gimme More,Britney Spears,Blackout,spotify:track:6ic8OlLUNEATToEFU3xmaH,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:23Z,android,0,Bang Bang,Jessie J,Sweet Talker,spotify:track:0puf9yIluy9W0vpMEUoAnN,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-01-15T13:55:24Z,android,110,bad idea,Ariana Grande,"thank u, next",spotify:track:5Il6Oe7lr5XM7A0cWbVQtr,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
